Doc_No:DI-02-01,Version:1.0,Effective_Date:01-Apr-2024,Entity:Bharat Mercantile Bank Limited
Prepared_By:IS Audit Division,Reviewed_By:CISO,Approved_By:Board Audit Committee
,,,,,,,,
Obs_ID,Obs_Date,Domain,Control_Ref,Risk_Level,Observation_Description,Responsible_Dept,Status,Root_Cause,Criticality_Score,Remediation_Action,Target_Closure_Date,Actual_Closure_Date,Closure_Evidence_Ref,Remarks
OBS001,15-Jun-2023,Database Security,3.2.1,High,Default administrative accounts (sa) enabled on production SQL servers with weak password policy. No multifactor authentication configured for DBA access.,IT Operations,Closed,No mandatory password rotation policy for service accounts and absence of MFA framework for privileged database access.,9.5,Implemented mandatory password rotation (90 days) for all DB service accounts. Deployed MFA for all DBA logins via Azure AD PIM.,30-Sep-2023,28-Sep-2023,DB-SEC-EVD-001-012,Root cause addressed via policy change ISMS-POL-042
OBS002,15-Jun-2023,Database Security,3.2.1,High,Unencrypted backup files stored on network share accessible to non-DBA staff (share read permissions granted to Domain Users group).,IT Operations,Open,No data classification applied to backup media and lack of access control review for shared storage.,8.7,Restrict NTFS permissions to DBA team only. Implement backup encryption using AES-256. Conduct quarterly shared-permission reviews.,31-Mar-2024,,,Escalated to CISO for review. Dependent on storage migration project.
OBS003,15-Jun-2023,Database Security,3.2.1,Medium,Audit logging not enabled for failed login attempts on three Oracle database instances used for core banking.,IT Operations,Closed,Database audit trail configuration was not included in the baseline hardening checklist.,6.2,Enabled unified audit trail for all Oracle instances. Updated database hardening standard (STD-DB-012).,31-Oct-2023,15-Oct-2023,DB-LOG-EVD-001-005,Root cause addressed via hardening standard update
OBS004,15-Jun-2023,Database Security,3.2.1,Medium,No database activity monitoring (DAM) solution deployed to detect anomalous SQL queries in real time.,IT Security,Open,Budget approval for DAM procurement delayed due to Q1-Q2 spending freeze. Tool evaluation not initiated.,6.8,Complete vendor evaluation by May 2024. Procure and deploy DAM solution. Integrate with existing SIEM.,31-Aug-2024,,,Deferred per CFO directive. Risk acceptance note filed (RAN-2024-003).
OBS005,15-Jun-2023,Database Security,3.2.1,Low,Test database instances not isolated from production environments. Two test DBs sharing network segment with production.,IT Operations,Closed,DevOps environment provisioning process did not mandate network segmentation for non-production databases.,3.4,Provisioned isolated VLAN (VLAN-120) for test databases. Updated infrastructure-as-code templates with mandatory segmentation.,31-Dec-2023,20-Dec-2023,NET-SEG-EVD-001-003,Root cause addressed via IaC template update
OBS006,15-Jun-2023,IT Asset Management,3.3.1,High,Centralized IT asset inventory does not include software license details or cloud subscription metadata for 340+ SaaS applications.,IT Operations,Open,No Board-approved IT Asset Management policy existed at time of audit. Inventory scope not defined.,8.9,Draft and obtain Board approval for IT Asset Management policy. Complete asset inventory enrichment for all software and cloud assets.,30-Jun-2024,,,Policy approval pending at Board Audit Committee meeting scheduled 15-Jul-2024
OBS007,15-Jun-2023,IT Asset Management,3.3.2,High,Twelve end-of-life Windows Server 2012 R2 systems supporting payment gateway infrastructure are still in production without an approved upgrade or replacement plan.,IT Infrastructure,Open,Business continuity risk acceptance process bypassed. No EOL/EOS governance framework in place.,9.2,Develop EOL/EOS management policy. Create migration plan for each EOL system with timeline. Obtain risk acceptance from CRO for interim period.,30-Sep-2024,,,Risk acceptance filed (RAN-2024-007). Migration vendor engaged.
OBS008,15-Jun-2023,IT Asset Management,3.3.1,Medium,Asset inventory version-control history not captured. Unable to verify who approved asset additions/deletions between January and April 2024.,IT Operations,Open,Asset inventory managed via static spreadsheet without versioning or approver workflow.,5.5,Implement CMDB with change-log and approver workflow. Define reviewer/approver matrix for asset lifecycle events.,30-Jun-2024,,,ServiceNow CMDB implementation in progress.
OBS009,15-Jun-2023,IT Asset Management,3.3.1,Low,Asset tags (barcodes) not affixed on 45 desktops deployed in three remote branch offices.,IT Operations,Closed,Branch asset onboarding checklist did not include asset-tagging step. No verification gate.,2.1,Asset tagging completed for all 45 desktops. Updated branch onboarding SOP (SOP-BR-009) to include tagging verification.,31-Aug-2023,25-Aug-2023,AST-TAG-EVD-001-008,Root cause addressed via SOP update
OBS010,15-Jun-2023,IT Asset Management,3.3.2,Low,No documented decommissioning procedure for retired hardware. Retired servers stored in datacenter loading bay without sanitization certificate.,IT Infrastructure,Open,Asset disposal policy and procedure not defined. No data sanitization verification process.,2.8,Draft IT Asset Disposal SOP. Conduct data sanitization for all retired assets. Issue certificate of destruction.,30-Jun-2024,,,Draft SOP circulated for review.
