Device Name,Device Type,IP Address,Vendor/Model,Location,Last Review Date,Next Review Due,Total User Accounts,Active Users,Inactive Users (>90 days),Orphaned Accounts (Terminated Employees),Shared Admin Accounts,Excessive Privileges Identified,Accounts Remediated,Pending Remediation,Review Status,Reviewer Name,Remarks
FW-PROD-01,Firewall (Palo Alto),10.10.1.1,PA-5250,Primary Data Center - Mumbai,15-Nov-2025,15-Feb-2026,14,11,2,0,1,3,8,3,Overdue - Not reviewed this cycle,Ravi Sharma,Shared admin account pending PAM integration. 2 accounts to be removed.
FW-PROD-02,Firewall (Palo Alto),10.10.1.2,PA-5220,Primary Data Center - Mumbai,15-Nov-2025,15-Feb-2026,12,9,1,1,1,2,6,3,Overdue - Not reviewed this cycle,Ravi Sharma,1 orphaned account found for ex-employee Sharma. Removal in progress.
FW-DR-01,Firewall (Check Point),10.20.1.1,Quantum 6900,DR Site - Pune,20-Jan-2026,20-Apr-2026,10,8,1,0,0,1,8,1,Overdue - Partially complete,Priya Mehta,Missing review for 1 firewall cluster member.
FW-BRANCH-01,Firewall (Fortinet),10.30.1.1,FortiGate 200F,Delhi Branch,05-Dec-2025,05-Mar-2026,8,7,1,0,1,0,6,1,Overdue - Not reviewed this cycle,Amit Singh,Shared local admin account identified. FortiCloud SSO being considered.
SW-CORE-01,Core Switch (Cisco),10.10.1.10,C9500-48Y4C,Primary Data Center - Mumbai,10-Feb-2026,10-May-2026,15,12,2,1,1,4,10,3,Overdue - Partially complete,Sandeep Gupta,AAA test accounts not cleaned up. Deferred tech debt.
SW-CORE-02,Core Switch (Cisco),10.10.1.11,C9500-48Y4C,Primary Data Center - Mumbai,10-Feb-2026,10-May-2026,15,12,2,1,1,4,10,3,Overdue - Partially complete,Sandeep Gupta,Same as SW-CORE-01. Config sync pending.
SW-AGG-01,Aggregation Switch (Arista),10.10.2.1,7280SR,Primary Data Center - Mumbai,15-Mar-2026,15-Jun-2026,9,8,0,0,0,1,8,1,Completed,Neha Jain,1 service account had higher privs than needed. Rectified.
SW-DR-AGG,Aggregation Switch (Cisco),10.20.2.1,Nexus 93180YC,DR Site - Pune,15-Jan-2026,15-Apr-2026,11,9,1,0,0,2,9,1,Overdue - Not reviewed this cycle,Vikram Joshi,Review scheduled for next week.
IPS-PROD-01,IPS (Cisco),10.10.5.1,Firepower 9300,Primary Data Center - Mumbai,01-Apr-2026,01-Jul-2026,8,6,1,0,0,0,6,0,Completed,Ananya Kumar,Clean review. All accounts validated.
WAF-PROD-01,WAF (F5),10.10.5.10,F5 BIG-IP i5800,Primary Data Center - Mumbai,20-Dec-2025,20-Mar-2026,10,8,1,1,0,2,7,2,Overdue - Not reviewed this cycle,Rahul Verma,1 orphaned account found. SSL VPN accounts need cleanup.
SIEM-PROD-01,SIEM (Splunk),10.10.5.20,Splunk Enterprise,Primary Data Center - Mumbai,15-Feb-2026,15-May-2026,22,18,3,0,0,5,15,4,Overdue - Partially complete,Pooja Singh,Power user roles need reduction. Escalated to SOC manager.
DLP-PROD-01,DLP (Symantec),10.10.5.30,DLP Enforce,Primary Data Center - Mumbai,10-Mar-2026,10-Jun-2026,9,7,1,0,0,1,7,1,Completed,Arjun Gupta,1 policy admin account downgraded to monitor-only.
WAF-DR-01,WAF (F5),10.20.5.10,F5 BIG-IP i5800,DR Site - Pune,20-Dec-2025,20-Mar-2026,8,6,1,0,0,1,6,1,Overdue - Not reviewed this cycle,Rahul Verma,Same vendor as primary. Combined review planned.
VPN-PROD-01,VPN Gateway (Palo Alto),10.10.5.40,PA-5220,Primary Data Center - Mumbai,05-Jan-2026,05-Apr-2026,45,38,5,1,0,3,35,5,Overdue - Partially complete,Sonia Agarwal,GlobalProtect VPN users. Bulk LDAP sync review done. Local users pending.
PROXY-PROD-01,Proxy Server (Blue Coat),10.10.5.50,Symantec ProxySG,Primary Data Center - Mumbai,25-Feb-2026,25-May-2026,12,10,1,0,0,2,9,2,Overdue - Partially complete,Deepak Joshi,Admin and reporting role consolidation needed.
NAC-PROD-01,NAC (Cisco ISE),10.10.5.60,ISE 3.0,Primary Data Center - Mumbai,01-Apr-2026,01-Jul-2026,16,13,2,0,0,1,12,1,Completed,Maya Patel,1 admin account had full access. Reduced to operator.
LB-PROD-01,Load Balancer (F5),10.10.5.70,F5 BIG-IP,Primary Data Center - Mumbai,15-Jan-2026,15-Apr-2026,10,8,1,0,0,2,8,1,Overdue - Not reviewed this cycle,Vikram Joshi,2 iControl accounts need scope restriction.
FW-DMZ-01,Firewall (Check Point),10.99.1.1,Quantum 6700,DMZ - Mumbai,10-Feb-2026,10-May-2026,9,7,1,0,1,1,6,2,Overdue - Not reviewed this cycle,Priyanka Das,Shared admin for DMZ management. PAM vault pending.
SW-DMZ-01,DMZ Switch (Cisco),10.99.1.10,Nexus 93108TC,DMZ - Mumbai,10-Feb-2026,10-May-2026,8,6,1,0,0,1,6,1,Overdue - Not reviewed this cycle,Arjun Nair,1 SNMP community set to RW instead of RO. Corrected.
