System / Application,PAM Integration Type,Integration Status,Integration Date,Build Version,Connection Method,Last Health Check Date,Health Check Result,Uptime (Days),Authentication Method,MFA Status,MFA Type,Remarks,Risk Level,Target Completion Date,Assigned Team,Approved By
CyberArk PAM Vault,Core PAM,Active - Vault Operational,01-Feb-2026,13.2.0,Internal API,15-Jun-2026,Pass,135,LDAP+Cert,Active,RSA SecurID,All components healthy. DR vault sync pending approval.,None,Completed,Infrastructure Team,CISO
Email Gateway (Proofpoint),Credential Management & Rotation,Integration In Progress,N/A,8.5.0,REST API,15-Jun-2026,Partial - App ID issues,45,OAuth 2.0,Not Configured,N/A,API credential refresh failing intermittently. Vendor support engaged for fix.,High,31-Jul-2026,Security Engineering Team,CISO
Email Gateway (Proofpoint) - Approval Workflow,Approval & Notification Workflow,Not Started,N/A,8.5.0,SMTP/API,N/A,N/A,N/A,OAuth 2.0,Not Configured,N/A,Approval workflow configuration not initiated. Dependent on base integration completion first.,High,31-Aug-2026,Security Engineering Team,CISO
DLP (Symantec),Session Monitoring & Recording,Integration In Progress,N/A,15.8.0,REST API,10-Jun-2026,Pass - Test Environment,30,OAuth 2.0,Not Configured,N/A,Test integration completed. Production migration pending firewall rule update.,High,15-Aug-2026,Security Engineering Team,CISO
DLP (Symantec) - Data Exfiltration Monitoring,Real-time Session Monitoring,Not Started,N/A,15.8.0,REST API,N/A,N/A,N/A,OAuth 2.0,Not Configured,N/A,Dependent on production DLP-PAM integration completion.,High,15-Sep-2026,Security Engineering Team,CISO
SIEM (Splunk),Log Forwarding & Alerting,Active - Fully Integrated,15-Mar-2026,9.0.1,Syslog / REST API,15-Jun-2026,Pass,90,Token-based,N/A,N/A,All PAM events flowing to SIEM. 12 correlation rules active.,None,Completed,SOC Team,CISO
Active Directory,Authentication Source,Active - Fully Integrated,01-Feb-2026,Windows Server 2022,LDAP / Kerberos,15-Jun-2026,Pass,135,LDAP,N/A,N/A,AD sync with PAM operational. 520 user accounts synchronized.,None,Completed,Infrastructure Team,CISO
ITSM (ServiceNow),Ticketing & Approval,Active - Fully Integrated,01-Mar-2026,San Diego,REST API,15-Jun-2026,Pass,105,OAuth 2.0,N/A,N/A,JIT access requests from ServiceNow catalog items working.,None,Completed,ITSM Team,CISO
PAM Portal (Web Access),User Access Portal,Active - Fully Operational,01-Feb-2026,13.2.0,HTTPS,15-Jun-2026,Pass,135,LDAP + MFA,Active,RSA SecurID & MS Authenticator,MFA working for all 520 PAM users. 100% compliance.,None,Completed,Security Team,CISO
Database (Oracle) - PAM,Privileged Account Management,Active - Fully Integrated,15-Apr-2026,13.2.0,JDBC / REST API,15-Jun-2026,Pass,60,LDAP,Active,RSA SecurID,Target and source DB accounts managed. Auto-rotation enabled.,None,Completed,Database Admin Team,CISO
Database (SQL Server) - PAM,Privileged Account Management,Active - Fully Integrated,15-Apr-2026,13.2.0,JDBC / REST API,15-Jun-2026,Pass,60,LDAP,Active,RSA SecurID,All 25 SQL instances onboarded to PAM.,None,Completed,Database Admin Team,CISO
SSH Key Manager,SSH Key Lifecycle Management,Active - Fully Integrated,01-Apr-2026,13.2.0,SSH / REST API,15-Jun-2026,Pass,75,Certificate-based,N/A,N/A,4,200 SSH keys managed. Rotation every 30 days for prod.,None,Completed,Security Engineering Team,CISO
Windows Server Fleet (120 servers),Server Onboarding,Active - Fully Integrated,15-Mar-2026,13.2.0,CPM / REST API,15-Jun-2026,Pass,90,LDAP + Kerberos,Active,RSA SecurID,All Windows servers onboarded. Local admin auto-rotation enabled.,None,Completed,Infrastructure Team,CISO
Linux Server Fleet (350 servers),Server Onboarding,Active - Fully Integrated,15-Apr-2026,13.2.0,SSH / REST API,15-Jun-2026,Pass,60,SSH Key + LDAP,Active,RSA SecurID,All Linux servers onboarded. SUDOers integration tested.,None,Completed,Infrastructure Team,CISO
Network Devices (Cisco/Huawei),Device Onboarding,Active Partially (80% complete),15-May-2026,13.2.0,SSH / TACACS+,15-Jun-2026,Pass - 80% devices,30,TACACS+ + MFA,Active (partial),RSA SecurID,45 out of 56 network devices onboarded. Remaining 11 pending vendor support.,Medium,15-Jul-2026,Network Team,CISO
Security Devices (Palo Alto/Check Point),Device Onboarding,Active Partially (70% complete),15-May-2026,13.2.0,SSH / API,15-Jun-2026,Pass - 70% devices,30,TACACS+ + MFA,Active (partial),RSA SecurID,18 out of 26 security appliances onboarded. 8 pending in DR site.,Medium,31-Jul-2026,Security Engineering Team,CISO
Cloud (Azure) Management Console,Cloud PAM,In Progress,N/A,N/A,REST API / Azure AD,10-Jun-2026,Pass - Test,15,Azure AD + PIM,Active,MS Authenticator,PIM for Azure admin roles configured. PAM integration for service principals pending.,Medium,31-Aug-2026,Cloud Admin Team,CISO
Cloud (AWS) Management Console,Cloud PAM,Not Started,N/A,N/A,REST API / IAM,N/A,N/A,N/A,IAM Roles + MFA,Not Configured,N/A,AWS SSO integration with PAM on roadmap for Q3 FY27.,High,30-Sep-2026,Cloud Admin Team,CISO
HRMS Integration,User Lifecycle Sync,Active - Fully Integrated,01-Feb-2026,API v2,REST API,15-Jun-2026,Pass,135,API Token,N/A,N/A,Automated disablement of terminated employees in PAM. < 4hr SLA.,None,Completed,HR Technology Team,CISO
PAM-to-PAM DR Replication,DR & Resilience,Active - Configured,01-May-2026,13.2.0,Encrypted Sync,15-Jun-2026,Pass,45,Cert-based,N/A,N/A,Primary-to-DR vault sync running every 15 minutes. DR tested.,None,Completed,Infrastructure Team,CISO
